pokemon,pokedex_no,hp,attack,defense,special_attack,special_defense,speed,height,weight,type_1,type_2
bulbasaur,1,45,49,49,65,65,45,0.7,6.9,grass,poison
ivysaur,2,60,62,63,80,80,60,1.0,13.0,grass,poison
venusaur,3,80,82,83,100,100,80,2.0,100.0,grass,poison
charmander,4,39,52,43,60,50,65,0.6,8.5,fire,
charmeleon,5,58,64,58,80,65,80,1.1,19.0,fire,
charizard,6,78,84,78,109,85,100,1.7,90.5,fire,flying
squirtle,7,44,48,65,50,64,43,0.5,9.0,water,
wartortle,8,59,63,80,65,80,58,1.0,22.5,water,
blastoise,9,79,83,100,85,105,78,1.6,85.5,water,
caterpie,10,45,30,35,20,20,45,0.3,2.9,bug,
metapod,11,50,20,55,25,25,30,0.7,9.9,bug,
butterfree,12,60,45,50,90,80,70,1.1,32.0,bug,flying
weedle,13,40,35,30,20,20,50,0.3,3.2,bug,poison
kakuna,14,45,25,50,25,25,35,0.6,10.0,bug,poison
beedrill,15,65,90,40,45,80,75,1.0,29.5,bug,poison
pidgey,16,40,45,40,35,35,56,0.3,1.8,normal,flying
pidgeotto,17,63,60,55,50,50,71,1.1,30.0,normal,flying
pidgeot,18,83,80,75,70,70,101,1.5,39.5,normal,flying
rattata,19,30,56,35,25,35,72,0.3,3.5,normal,
raticate,20,55,81,60,50,70,97,0.7,18.5,normal,
spearow,21,40,60,30,31,31,70,0.3,2.0,normal,flying
fearow,22,65,90,65,61,61,100,1.2,38.0,normal,flying
ekans,23,35,60,44,40,54,55,2.0,6.9,poison,
arbok,24,60,95,69,65,79,80,3.5,65.0,poison,
pikachu,25,35,55,40,50,50,90,0.4,6.0,electric,
raichu,26,60,90,55,90,80,110,0.8,30.0,electric,
sandshrew,27,50,75,85,20,30,40,0.6,12.0,ground,
sandslash,28,75,100,110,45,55,65,1.0,29.5,ground,
nidoran-f,29,55,47,52,40,40,41,0.4,7.0,poison,
nidorina,30,70,62,67,55,55,56,0.8,20.0,poison,
nidoqueen,31,90,92,87,75,85,76,1.3,60.0,poison,ground
nidoran-m,32,46,57,40,40,40,50,0.5,9.0,poison,
nidorino,33,61,72,57,55,55,65,0.9,19.5,poison,
nidoking,34,81,102,77,85,75,85,1.4,62.0,poison,ground
clefairy,35,70,45,48,60,65,35,0.6,7.5,fairy,
clefable,36,95,70,73,95,90,60,1.3,40.0,fairy,
vulpix,37,38,41,40,50,65,65,0.6,9.9,fire,
ninetales,38,73,76,75,81,100,100,1.1,19.9,fire,
jigglypuff,39,115,45,20,45,25,20,0.5,5.5,normal,fairy
wigglytuff,40,140,70,45,85,50,45,1.0,12.0,normal,fairy
zubat,41,40,45,35,30,40,55,0.8,7.5,poison,flying
golbat,42,75,80,70,65,75,90,1.6,55.0,poison,flying
oddish,43,45,50,55,75,65,30,0.5,5.4,grass,poison
gloom,44,60,65,70,85,75,40,0.8,8.6,grass,poison
vileplume,45,75,80,85,110,90,50,1.2,18.6,grass,poison
paras,46,35,70,55,45,55,25,0.3,5.4,bug,grass
parasect,47,60,95,80,60,80,30,1.0,29.5,bug,grass
venonat,48,60,55,50,40,55,45,1.0,30.0,bug,poison
venomoth,49,70,65,60,90,75,90,1.5,12.5,bug,poison
diglett,50,10,55,25,35,45,95,0.2,0.8,ground,
dugtrio,51,35,100,50,50,70,120,0.7,33.3,ground,
meowth,52,40,45,35,40,40,90,0.4,4.2,normal,
persian,53,65,70,60,65,65,115,1.0,32.0,normal,
psyduck,54,50,52,48,65,50,55,0.8,19.6,water,
golduck,55,80,82,78,95,80,85,1.7,76.6,water,
mankey,56,40,80,35,35,45,70,0.5,28.0,fighting,
primeape,57,65,105,60,60,70,95,1.0,32.0,fighting,
growlithe,58,55,70,45,70,50,60,0.7,19.0,fire,
arcanine,59,90,110,80,100,80,95,1.9,155.0,fire,
poliwag,60,40,50,40,40,40,90,0.6,12.4,water,
poliwhirl,61,65,65,65,50,50,90,1.0,20.0,water,
poliwrath,62,90,95,95,70,90,70,1.3,54.0,water,fighting
abra,63,25,20,15,105,55,90,0.9,19.5,psychic,
kadabra,64,40,35,30,120,70,105,1.3,56.5,psychic,
alakazam,65,55,50,45,135,95,120,1.5,48.0,psychic,
machop,66,70,80,50,35,35,35,0.8,19.5,fighting,
machoke,67,80,100,70,50,60,45,1.5,70.5,fighting,
machamp,68,90,130,80,65,85,55,1.6,130.0,fighting,
bellsprout,69,50,75,35,70,30,40,0.7,4.0,grass,poison
weepinbell,70,65,90,50,85,45,55,1.0,6.4,grass,poison
victreebel,71,80,105,65,100,70,70,1.7,15.5,grass,poison
tentacool,72,40,40,35,50,100,70,0.9,45.5,water,poison
tentacruel,73,80,70,65,80,120,100,1.6,55.0,water,poison
geodude,74,40,80,100,30,30,20,0.4,20.0,rock,ground
graveler,75,55,95,115,45,45,35,1.0,105.0,rock,ground
golem,76,80,120,130,55,65,45,1.4,300.0,rock,ground
ponyta,77,50,85,55,65,65,90,1.0,30.0,fire,
rapidash,78,65,100,70,80,80,105,1.7,95.0,fire,
slowpoke,79,90,65,65,40,40,15,1.2,36.0,water,psychic
slowbro,80,95,75,110,100,80,30,1.6,78.5,water,psychic
magnemite,81,25,35,70,95,55,45,0.3,6.0,electric,steel
magneton,82,50,60,95,120,70,70,1.0,60.0,electric,steel
farfetchd,83,52,90,55,58,62,60,0.8,15.0,normal,flying
doduo,84,35,85,45,35,35,75,1.4,39.2,normal,flying
dodrio,85,60,110,70,60,60,110,1.8,85.2,normal,flying
seel,86,65,45,55,45,70,45,1.1,90.0,water,
dewgong,87,90,70,80,70,95,70,1.7,120.0,water,ice
grimer,88,80,80,50,40,50,25,0.9,30.0,poison,
muk,89,105,105,75,65,100,50,1.2,30.0,poison,
shellder,90,30,65,100,45,25,40,0.3,4.0,water,
cloyster,91,50,95,180,85,45,70,1.5,132.5,water,ice
gastly,92,30,35,30,100,35,80,1.3,0.1,ghost,poison
haunter,93,45,50,45,115,55,95,1.6,0.1,ghost,poison
gengar,94,60,65,60,130,75,110,1.5,40.5,ghost,poison
onix,95,35,45,160,30,45,70,8.8,210.0,rock,ground
drowzee,96,60,48,45,43,90,42,1.0,32.4,psychic,
hypno,97,85,73,70,73,115,67,1.6,75.6,psychic,
krabby,98,30,105,90,25,25,50,0.4,6.5,water,
kingler,99,55,130,115,50,50,75,1.3,60.0,water,
voltorb,100,40,30,50,55,55,100,0.5,10.4,electric,
electrode,101,60,50,70,80,80,150,1.2,66.6,electric,
exeggcute,102,60,40,80,60,45,40,0.4,2.5,grass,psychic
exeggutor,103,95,95,85,125,75,55,2.0,120.0,grass,psychic
cubone,104,50,50,95,40,50,35,0.4,6.5,ground,
marowak,105,60,80,110,50,80,45,1.0,45.0,ground,
hitmonlee,106,50,120,53,35,110,87,1.5,49.8,fighting,
hitmonchan,107,50,105,79,35,110,76,1.4,50.2,fighting,
lickitung,108,90,55,75,60,75,30,1.2,65.5,normal,
koffing,109,40,65,95,60,45,35,0.6,1.0,poison,
weezing,110,65,90,120,85,70,60,1.2,9.5,poison,
rhyhorn,111,80,85,95,30,30,25,1.0,115.0,ground,rock
rhydon,112,105,130,120,45,45,40,1.9,120.0,ground,rock
chansey,113,250,5,5,35,105,50,1.1,34.6,normal,
tangela,114,65,55,115,100,40,60,1.0,35.0,grass,
kangaskhan,115,105,95,80,40,80,90,2.2,80.0,normal,
horsea,116,30,40,70,70,25,60,0.4,8.0,water,
seadra,117,55,65,95,95,45,85,1.2,25.0,water,
goldeen,118,45,67,60,35,50,63,0.6,15.0,water,
seaking,119,80,92,65,65,80,68,1.3,39.0,water,
staryu,120,30,45,55,70,55,85,0.8,34.5,water,
starmie,121,60,75,85,100,85,115,1.1,80.0,water,psychic
mr-mime,122,40,45,65,100,120,90,1.3,54.5,psychic,fairy
scyther,123,70,110,80,55,80,105,1.5,56.0,bug,flying
jynx,124,65,50,35,115,95,95,1.4,40.6,ice,psychic
electabuzz,125,65,83,57,95,85,105,1.1,30.0,electric,
magmar,126,65,95,57,100,85,93,1.3,44.5,fire,
pinsir,127,65,125,100,55,70,85,1.5,55.0,bug,
tauros,128,75,100,95,40,70,110,1.4,88.4,normal,
magikarp,129,20,10,55,15,20,80,0.9,10.0,water,
gyarados,130,95,125,79,60,100,81,6.5,235.0,water,flying
lapras,131,130,85,80,85,95,60,2.5,220.0,water,ice
ditto,132,48,48,48,48,48,48,0.3,4.0,normal,
eevee,133,55,55,50,45,65,55,0.3,6.5,normal,
vaporeon,134,130,65,60,110,95,65,1.0,29.0,water,
jolteon,135,65,65,60,110,95,130,0.8,24.5,electric,
flareon,136,65,130,60,95,110,65,0.9,25.0,fire,
porygon,137,65,60,70,85,75,40,0.8,36.5,normal,
omanyte,138,35,40,100,90,55,35,0.4,7.5,rock,water
omastar,139,70,60,125,115,70,55,1.0,35.0,rock,water
kabuto,140,30,80,90,55,45,55,0.5,11.5,rock,water
kabutops,141,60,115,105,65,70,80,1.3,40.5,rock,water
